,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
28800,2020-08-20 08:00:00+00:00,0.90538,0.90538,0.90534,0.90534,-1,-1.0,-1,0.90541,0.90541,0.90536,0.90537,-1,-1.0,-1
32400,2020-08-20 09:00:00+00:00,0.90306,0.90312,0.90306,0.90311,-1,-1.0,-1,0.90308,0.90314,0.90308,0.90313,-1,-1.0,-1
36000,2020-08-20 10:00:00+00:00,0.90215,0.90217,0.90215,0.90215,-1,-1.0,-1,0.9022,0.90221,0.90217,0.90218,-1,-1.0,-1
39600,2020-08-20 11:00:00+00:00,0.90184,0.90185,0.90179,0.9018,-1,-1.0,-1,0.90186,0.90187,0.90181,0.90184,-1,-1.0,-1
43200,2020-08-20 12:00:00+00:00,0.90148,0.90152,0.90148,0.90152,-1,-1.0,-1,0.90151,0.90157,0.90151,0.90157,-1,-1.0,-1
46800,2020-08-20 13:00:00+00:00,0.90293,0.90296,0.90286,0.90286,-1,-1.0,-1,0.90295,0.90298,0.90289,0.90289,-1,-1.0,-1
50400,2020-08-20 14:00:00+00:00,0.90294,0.90299,0.90294,0.90299,-1,-1.0,-1,0.903,0.90306,0.903,0.90306,-1,-1.0,-1
54000,2020-08-20 15:00:00+00:00,0.90121,0.90122,0.90115,0.90116,-1,-1.0,-1,0.90124,0.90124,0.90118,0.90119,-1,-1.0,-1
57600,2020-08-20 16:00:00+00:00,0.89918,0.89929,0.89918,0.89928,-1,-1.0,-1,0.8992,0.89931,0.8992,0.89931,-1,-1.0,-1
61200,2020-08-20 17:00:00+00:00,0.89884,0.89886,0.89878,0.89878,-1,-1.0,-1,0.89888,0.89888,0.8988,0.89882,-1,-1.0,-1
64800,2020-08-20 18:00:00+00:00,0.89818,0.89818,0.89814,0.89816,-1,-1.0,-1,0.89821,0.89821,0.89816,0.8982,-1,-1.0,-1
68400,2020-08-20 19:00:00+00:00,0.89707,0.89709,0.89707,0.89709,-1,-1.0,-1,0.89709,0.8971,0.89709,0.8971,-1,-1.0,-1
72000,2020-08-20 20:00:00+00:00,0.8971,0.89713,0.89709,0.89713,-1,-1.0,-1,0.89716,0.89716,0.89713,0.89715,-1,-1.0,-1
78300,2020-08-20 22:00:00+00:00,0.89735,0.89742,0.89735,0.89739,-1,-1.0,-1,0.89757,0.89762,0.89757,0.89762,-1,-1.0,-1
81900,2020-08-20 23:00:00+00:00,0.89753,0.89753,0.89753,0.89753,-1,-1.0,-1,0.89758,0.89758,0.89758,0.89758,-1,-1.0,-1
0,2020-08-21 00:00:00+00:00,0.89791,0.89792,0.89791,0.89792,-1,-1.0,-1,0.89798,0.898,0.89798,0.89798,-1,-1.0,-1
3600,2020-08-21 01:00:00+00:00,0.89741,0.89742,0.89741,0.89742,-1,-1.0,-1,0.89747,0.89749,0.89747,0.89748,-1,-1.0,-1
7200,2020-08-21 02:00:00+00:00,0.89709,0.89709,0.89709,0.89709,-1,-1.0,-1,0.89712,0.89712,0.89712,0.89712,-1,-1.0,-1
10800,2020-08-21 03:00:00+00:00,0.89728,0.89729,0.89727,0.89727,-1,-1.0,-1,0.89731,0.89732,0.89729,0.89729,-1,-1.0,-1
14400,2020-08-21 04:00:00+00:00,0.89727,0.89727,0.89724,0.89724,-1,-1.0,-1,0.8973,0.89731,0.89729,0.89729,-1,-1.0,-1
18000,2020-08-21 05:00:00+00:00,0.89695,0.89695,0.89691,0.89691,-1,-1.0,-1,0.89698,0.89698,0.89697,0.89698,-1,-1.0,-1
21600,2020-08-21 06:00:00+00:00,0.89716,0.89717,0.89715,0.89717,-1,-1.0,-1,0.89725,0.89726,0.89719,0.89722,-1,-1.0,-1
25200,2020-08-21 07:00:00+00:00,0.89652,0.89655,0.89652,0.89655,-1,-1.0,-1,0.89654,0.89656,0.89654,0.89656,-1,-1.0,-1
28800,2020-08-21 08:00:00+00:00,0.89514,0.89514,0.89509,0.89514,-1,-1.0,-1,0.89515,0.89517,0.89511,0.89516,-1,-1.0,-1
32400,2020-08-21 09:00:00+00:00,0.89492,0.89492,0.89491,0.89491,-1,-1.0,-1,0.89494,0.89494,0.89493,0.89493,-1,-1.0,-1
36000,2020-08-21 10:00:00+00:00,0.89714,0.89715,0.89713,0.89713,-1,-1.0,-1,0.89717,0.89719,0.89717,0.89717,-1,-1.0,-1
39600,2020-08-21 11:00:00+00:00,0.89714,0.89714,0.89707,0.89709,-1,-1.0,-1,0.89718,0.89718,0.8971,0.89713,-1,-1.0,-1
43200,2020-08-21 12:00:00+00:00,0.89821,0.89821,0.89815,0.89815,-1,-1.0,-1,0.89824,0.89824,0.89819,0.8982,-1,-1.0,-1
46800,2020-08-21 13:00:00+00:00,0.89903,0.89909,0.89903,0.89907,-1,-1.0,-1,0.89906,0.89911,0.89906,0.89909,-1,-1.0,-1
50400,2020-08-21 14:00:00+00:00,0.89818,0.89818,0.89815,0.89815,-1,-1.0,-1,0.89824,0.89825,0.89822,0.89822,-1,-1.0,-1
54000,2020-08-21 15:00:00+00:00,0.90103,0.90106,0.90099,0.90106,-1,-1.0,-1,0.90105,0.90108,0.90104,0.90108,-1,-1.0,-1
57600,2020-08-21 16:00:00+00:00,0.89893,0.89898,0.89893,0.89898,-1,-1.0,-1,0.89895,0.89902,0.89895,0.899,-1,-1.0,-1
61200,2020-08-21 17:00:00+00:00,0.90017,0.90018,0.90016,0.90018,-1,-1.0,-1,0.90019,0.9002,0.90019,0.9002,-1,-1.0,-1
64800,2020-08-21 18:00:00+00:00,0.90078,0.90078,0.90075,0.90075,-1,-1.0,-1,0.90084,0.90084,0.90081,0.90081,-1,-1.0,-1
68400,2020-08-21 19:00:00+00:00,0.90031,0.90031,0.90031,0.90031,-1,-1.0,-1,0.90035,0.90035,0.90034,0.90034,-1,-1.0,-1
72000,2020-08-21 20:00:00+00:00,0.90114,0.90115,0.90113,0.90113,-1,-1.0,-1,0.90118,0.9012,0.90118,0.90119,-1,-1.0,-1
0,2020-08-24 00:00:00+00:00,0.90109,0.90111,0.90109,0.90111,-1,-1.0,-1,0.90117,0.90117,0.90116,0.90117,-1,-1.0,-1
3600,2020-08-24 01:00:00+00:00,0.9012,0.90121,0.9012,0.90121,-1,-1.0,-1,0.90124,0.90125,0.90123,0.90123,-1,-1.0,-1
7200,2020-08-24 02:00:00+00:00,0.90131,0.90132,0.90131,0.90132,-1,-1.0,-1,0.90136,0.90136,0.90135,0.90135,-1,-1.0,-1
10800,2020-08-24 03:00:00+00:00,0.90097,0.90098,0.90097,0.90097,-1,-1.0,-1,0.90105,0.90105,0.90104,0.90104,-1,-1.0,-1
14400,2020-08-24 04:00:00+00:00,0.90089,0.90089,0.90089,0.90089,-1,-1.0,-1,0.90093,0.90093,0.90091,0.90092,-1,-1.0,-1
18000,2020-08-24 05:00:00+00:00,0.90116,0.90116,0.90116,0.90116,-1,-1.0,-1,0.90122,0.90123,0.9012,0.90122,-1,-1.0,-1
21600,2020-08-24 06:00:00+00:00,0.90082,0.90085,0.9008,0.9008,-1,-1.0,-1,0.90085,0.90087,0.90082,0.90082,-1,-1.0,-1
25200,2020-08-24 07:00:00+00:00,0.90072,0.90073,0.9007,0.9007,-1,-1.0,-1,0.90075,0.90075,0.90071,0.90071,-1,-1.0,-1
28800,2020-08-24 08:00:00+00:00,0.90161,0.90161,0.90158,0.90158,-1,-1.0,-1,0.90165,0.90165,0.90163,0.90163,-1,-1.0,-1
32400,2020-08-24 09:00:00+00:00,0.90221,0.90221,0.90219,0.90219,-1,-1.0,-1,0.90225,0.90225,0.90222,0.90222,-1,-1.0,-1
36000,2020-08-24 10:00:00+00:00,0.90158,0.90158,0.90154,0.90154,-1,-1.0,-1,0.90162,0.90162,0.90157,0.90158,-1,-1.0,-1
39600,2020-08-24 11:00:00+00:00,0.90209,0.9021,0.90205,0.90205,-1,-1.0,-1,0.9021,0.90212,0.90206,0.90206,-1,-1.0,-1
43200,2020-08-24 12:00:00+00:00,0.90139,0.90145,0.90137,0.90144,-1,-1.0,-1,0.90143,0.90149,0.90139,0.90149,-1,-1.0,-1
46800,2020-08-24 13:00:00+00:00,0.90254,0.90256,0.90251,0.90251,-1,-1.0,-1,0.90255,0.90259,0.90252,0.90252,-1,-1.0,-1
50400,2020-08-24 14:00:00+00:00,0.90368,0.90368,0.90368,0.90368,-1,-1.0,-1,0.90373,0.90373,0.90372,0.90372,-1,-1.0,-1
54000,2020-08-24 15:00:00+00:00,0.90379,0.90382,0.90379,0.9038,-1,-1.0,-1,0.90381,0.90383,0.90381,0.90382,-1,-1.0,-1
57600,2020-08-24 16:00:00+00:00,0.90246,0.9025,0.90246,0.9025,-1,-1.0,-1,0.90249,0.90254,0.90248,0.90254,-1,-1.0,-1
61200,2020-08-24 17:00:00+00:00,0.90284,0.90284,0.90283,0.90283,-1,-1.0,-1,0.90288,0.90288,0.90285,0.90285,-1,-1.0,-1
64800,2020-08-24 18:00:00+00:00,0.90319,0.9032,0.90319,0.90319,-1,-1.0,-1,0.9032,0.90324,0.9032,0.9032,-1,-1.0,-1
68400,2020-08-24 19:00:00+00:00,0.90304,0.90308,0.90303,0.90308,-1,-1.0,-1,0.90306,0.9031,0.90306,0.9031,-1,-1.0,-1
72000,2020-08-24 20:00:00+00:00,0.9023,0.9023,0.90226,0.90226,-1,-1.0,-1,0.90235,0.90235,0.90227,0.90227,-1,-1.0,-1
78300,2020-08-24 22:00:00+00:00,0.90213,0.90213,0.90213,0.90213,-1,-1.0,-1,0.90253,0.90253,0.90253,0.90253,-1,-1.0,-1
81900,2020-08-24 23:00:00+00:00,0.90237,0.90239,0.90237,0.90239,-1,-1.0,-1,0.90245,0.90247,0.90244,0.90247,-1,-1.0,-1
0,2020-08-25 00:00:00+00:00,0.90226,0.90227,0.90226,0.90227,-1,-1.0,-1,0.90232,0.90233,0.90231,0.90233,-1,-1.0,-1
3600,2020-08-25 01:00:00+00:00,0.90209,0.90211,0.90206,0.90207,-1,-1.0,-1,0.90215,0.90215,0.90211,0.90211,-1,-1.0,-1
7200,2020-08-25 02:00:00+00:00,0.90134,0.90135,0.90134,0.90134,-1,-1.0,-1,0.90138,0.90138,0.90138,0.90138,-1,-1.0,-1
10800,2020-08-25 03:00:00+00:00,0.90101,0.90101,0.901,0.90101,-1,-1.0,-1,0.90107,0.90107,0.90106,0.90107,-1,-1.0,-1
14400,2020-08-25 04:00:00+00:00,0.90088,0.90089,0.90087,0.90088,-1,-1.0,-1,0.90093,0.90093,0.90092,0.90092,-1,-1.0,-1
18000,2020-08-25 05:00:00+00:00,0.90128,0.90129,0.90127,0.90127,-1,-1.0,-1,0.9013,0.90132,0.9013,0.90132,-1,-1.0,-1
21600,2020-08-25 06:00:00+00:00,0.90159,0.90159,0.90156,0.90158,-1,-1.0,-1,0.90161,0.90163,0.90159,0.90161,-1,-1.0,-1
25200,2020-08-25 07:00:00+00:00,0.90167,0.90173,0.90158,0.90172,-1,-1.0,-1,0.90168,0.90175,0.90161,0.90175,-1,-1.0,-1
28800,2020-08-25 08:00:00+00:00,0.90259,0.90259,0.90256,0.90259,-1,-1.0,-1,0.90269,0.9027,0.90268,0.9027,-1,-1.0,-1
32400,2020-08-25 09:00:00+00:00,0.90205,0.90205,0.90201,0.90205,-1,-1.0,-1,0.90207,0.90207,0.90204,0.90206,-1,-1.0,-1
