,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
0,2020-09-03 00:00:00+00:00,0.7328,0.7328,0.7328,0.7328,-1,-1.0,-1,0.73282,0.73283,0.73281,0.73282,-1,-1.0,-1
3600,2020-09-03 01:00:00+00:00,0.73218,0.73219,0.73212,0.73212,-1,-1.0,-1,0.7322,0.73222,0.73215,0.73215,-1,-1.0,-1
7200,2020-09-03 02:00:00+00:00,0.73256,0.73257,0.73255,0.73257,-1,-1.0,-1,0.73258,0.73259,0.73258,0.73259,-1,-1.0,-1
10800,2020-09-03 03:00:00+00:00,0.73244,0.73244,0.73242,0.73242,-1,-1.0,-1,0.73248,0.73248,0.73247,0.73247,-1,-1.0,-1
14400,2020-09-03 04:00:00+00:00,0.73173,0.73177,0.73173,0.73174,-1,-1.0,-1,0.73175,0.73178,0.73174,0.73176,-1,-1.0,-1
18000,2020-09-03 05:00:00+00:00,0.73146,0.73151,0.73146,0.73151,-1,-1.0,-1,0.73151,0.73153,0.73151,0.73153,-1,-1.0,-1
21600,2020-09-03 06:00:00+00:00,0.73055,0.73055,0.73052,0.73052,-1,-1.0,-1,0.73057,0.73058,0.73055,0.73055,-1,-1.0,-1
25200,2020-09-03 07:00:00+00:00,0.73018,0.7302,0.73017,0.7302,-1,-1.0,-1,0.7302,0.73023,0.73019,0.73023,-1,-1.0,-1
28800,2020-09-03 08:00:00+00:00,0.73111,0.73112,0.7311,0.73112,-1,-1.0,-1,0.73114,0.73114,0.73113,0.73114,-1,-1.0,-1
32400,2020-09-03 09:00:00+00:00,0.73163,0.73163,0.73162,0.73162,-1,-1.0,-1,0.73165,0.73165,0.73164,0.73164,-1,-1.0,-1
36000,2020-09-03 10:00:00+00:00,0.72932,0.72934,0.72932,0.72934,-1,-1.0,-1,0.72934,0.72935,0.72934,0.72935,-1,-1.0,-1
39600,2020-09-03 11:00:00+00:00,0.72942,0.72946,0.72941,0.72946,-1,-1.0,-1,0.72943,0.72947,0.72942,0.72947,-1,-1.0,-1
43200,2020-09-03 12:00:00+00:00,0.72864,0.7287,0.72863,0.7287,-1,-1.0,-1,0.72867,0.72873,0.72865,0.72873,-1,-1.0,-1
46800,2020-09-03 13:00:00+00:00,0.72961,0.72961,0.7296,0.7296,-1,-1.0,-1,0.72964,0.72964,0.72963,0.72964,-1,-1.0,-1
50400,2020-09-03 14:00:00+00:00,0.72998,0.73,0.72998,0.72999,-1,-1.0,-1,0.73005,0.73007,0.73003,0.73007,-1,-1.0,-1
54000,2020-09-03 15:00:00+00:00,0.72961,0.72961,0.72956,0.72958,-1,-1.0,-1,0.72963,0.72963,0.72958,0.72959,-1,-1.0,-1
57600,2020-09-03 16:00:00+00:00,0.72707,0.72712,0.72707,0.72712,-1,-1.0,-1,0.72711,0.72715,0.72709,0.72715,-1,-1.0,-1
61200,2020-09-03 17:00:00+00:00,0.72674,0.72684,0.72674,0.72682,-1,-1.0,-1,0.72679,0.72687,0.72678,0.72685,-1,-1.0,-1
64800,2020-09-03 18:00:00+00:00,0.72736,0.72736,0.72734,0.72736,-1,-1.0,-1,0.72738,0.72738,0.72735,0.72737,-1,-1.0,-1
68400,2020-09-03 19:00:00+00:00,0.72734,0.7274,0.72734,0.7274,-1,-1.0,-1,0.72738,0.72744,0.72738,0.72744,-1,-1.0,-1
72000,2020-09-03 20:00:00+00:00,0.727,0.727,0.72696,0.727,-1,-1.0,-1,0.72701,0.72701,0.72698,0.72701,-1,-1.0,-1
78300,2020-09-03 22:00:00+00:00,0.72726,0.72726,0.72726,0.72726,-1,-1.0,-1,0.7274,0.7274,0.7273,0.7273,-1,-1.0,-1
81900,2020-09-03 23:00:00+00:00,0.72654,0.72655,0.72653,0.72655,-1,-1.0,-1,0.72657,0.72658,0.72657,0.72658,-1,-1.0,-1
0,2020-09-04 00:00:00+00:00,0.72539,0.72544,0.72538,0.72544,-1,-1.0,-1,0.72541,0.72545,0.72541,0.72545,-1,-1.0,-1
3600,2020-09-04 01:00:00+00:00,0.72691,0.72693,0.72691,0.72692,-1,-1.0,-1,0.72694,0.72696,0.72694,0.72695,-1,-1.0,-1
7200,2020-09-04 02:00:00+00:00,0.72736,0.72736,0.72736,0.72736,-1,-1.0,-1,0.72738,0.72738,0.72738,0.72738,-1,-1.0,-1
10800,2020-09-04 03:00:00+00:00,0.72654,0.72654,0.72654,0.72654,-1,-1.0,-1,0.72657,0.72657,0.72657,0.72657,-1,-1.0,-1
14400,2020-09-04 04:00:00+00:00,0.72705,0.72705,0.72705,0.72705,-1,-1.0,-1,0.72708,0.72708,0.72708,0.72708,-1,-1.0,-1
18000,2020-09-04 05:00:00+00:00,0.72724,0.72725,0.72723,0.72724,-1,-1.0,-1,0.72725,0.72726,0.72725,0.72725,-1,-1.0,-1
21600,2020-09-04 06:00:00+00:00,0.72694,0.72695,0.72692,0.72693,-1,-1.0,-1,0.72695,0.72698,0.72695,0.72695,-1,-1.0,-1
25200,2020-09-04 07:00:00+00:00,0.72674,0.72674,0.7267,0.72672,-1,-1.0,-1,0.72677,0.72677,0.72674,0.72675,-1,-1.0,-1
28800,2020-09-04 08:00:00+00:00,0.72824,0.72824,0.7282,0.72821,-1,-1.0,-1,0.72825,0.72825,0.72821,0.72822,-1,-1.0,-1
32400,2020-09-04 09:00:00+00:00,0.72904,0.72904,0.72897,0.72897,-1,-1.0,-1,0.72907,0.72907,0.72901,0.72901,-1,-1.0,-1
36000,2020-09-04 10:00:00+00:00,0.72925,0.72925,0.7292,0.7292,-1,-1.0,-1,0.72929,0.72929,0.72923,0.72923,-1,-1.0,-1
39600,2020-09-04 11:00:00+00:00,0.7281,0.72811,0.72809,0.7281,-1,-1.0,-1,0.72814,0.72815,0.72811,0.72815,-1,-1.0,-1
43200,2020-09-04 12:00:00+00:00,0.72708,0.72711,0.72708,0.72709,-1,-1.0,-1,0.72711,0.72713,0.72711,0.72712,-1,-1.0,-1
46800,2020-09-04 13:00:00+00:00,0.7267,0.7267,0.72663,0.72663,-1,-1.0,-1,0.72675,0.72675,0.72664,0.72664,-1,-1.0,-1
50400,2020-09-04 14:00:00+00:00,0.72407,0.72407,0.72405,0.72407,-1,-1.0,-1,0.72409,0.72409,0.72407,0.72408,-1,-1.0,-1
54000,2020-09-04 15:00:00+00:00,0.72439,0.72441,0.72437,0.72441,-1,-1.0,-1,0.72441,0.72443,0.72439,0.72443,-1,-1.0,-1
57600,2020-09-04 16:00:00+00:00,0.72643,0.72643,0.72642,0.72643,-1,-1.0,-1,0.72646,0.72647,0.72645,0.72647,-1,-1.0,-1
61200,2020-09-04 17:00:00+00:00,0.72815,0.72815,0.72813,0.72813,-1,-1.0,-1,0.72818,0.72818,0.72814,0.72814,-1,-1.0,-1
64800,2020-09-04 18:00:00+00:00,0.7285,0.7285,0.72849,0.72849,-1,-1.0,-1,0.72854,0.72854,0.72852,0.72852,-1,-1.0,-1
68400,2020-09-04 19:00:00+00:00,0.72973,0.72977,0.72973,0.72973,-1,-1.0,-1,0.72975,0.72978,0.72975,0.72975,-1,-1.0,-1
72000,2020-09-04 20:00:00+00:00,0.72943,0.72944,0.7294,0.72941,-1,-1.0,-1,0.72945,0.72947,0.72943,0.72943,-1,-1.0,-1
0,2020-09-07 00:00:00+00:00,0.7281,0.7281,0.72806,0.72808,-1,-1.0,-1,0.72813,0.72813,0.72807,0.72811,-1,-1.0,-1
3600,2020-09-07 01:00:00+00:00,0.72866,0.72866,0.72864,0.72864,-1,-1.0,-1,0.72869,0.72869,0.72867,0.72867,-1,-1.0,-1
7200,2020-09-07 02:00:00+00:00,0.72861,0.72863,0.72861,0.72863,-1,-1.0,-1,0.72863,0.72865,0.72862,0.72864,-1,-1.0,-1
10800,2020-09-07 03:00:00+00:00,0.72845,0.72847,0.72845,0.72847,-1,-1.0,-1,0.72848,0.72852,0.72848,0.72851,-1,-1.0,-1
14400,2020-09-07 04:00:00+00:00,0.72864,0.72864,0.72864,0.72864,-1,-1.0,-1,0.72867,0.72867,0.72865,0.72865,-1,-1.0,-1
18000,2020-09-07 05:00:00+00:00,0.72847,0.72847,0.72844,0.72844,-1,-1.0,-1,0.7285,0.7285,0.72846,0.72846,-1,-1.0,-1
