,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
36000,2020-06-03 10:00:00+00:00,1.62463,1.62463,1.62446,1.62446,-1,-1.0,-1,1.62471,1.62471,1.62447,1.62451,-1,-1.0,-1
39600,2020-06-03 11:00:00+00:00,1.62978,1.62978,1.62957,1.6296,-1,-1.0,-1,1.62988,1.62988,1.6296,1.6297,-1,-1.0,-1
43200,2020-06-03 12:00:00+00:00,1.62888,1.62895,1.62887,1.6289,-1,-1.0,-1,1.629,1.62902,1.62897,1.62898,-1,-1.0,-1
46800,2020-06-03 13:00:00+00:00,1.62567,1.6259,1.62565,1.6259,-1,-1.0,-1,1.62578,1.62601,1.62575,1.62601,-1,-1.0,-1
50400,2020-06-03 14:00:00+00:00,1.6247,1.62492,1.62462,1.62465,-1,-1.0,-1,1.62505,1.62525,1.62489,1.62514,-1,-1.0,-1
54000,2020-06-03 15:00:00+00:00,1.61786,1.61792,1.61778,1.61782,-1,-1.0,-1,1.61794,1.61799,1.61782,1.61792,-1,-1.0,-1
57600,2020-06-03 16:00:00+00:00,1.61857,1.6186,1.61856,1.61857,-1,-1.0,-1,1.61865,1.61866,1.61864,1.61866,-1,-1.0,-1
61200,2020-06-03 17:00:00+00:00,1.61947,1.61947,1.61942,1.61944,-1,-1.0,-1,1.61956,1.61956,1.6195,1.6195,-1,-1.0,-1
64800,2020-06-03 18:00:00+00:00,1.62109,1.62109,1.62105,1.62107,-1,-1.0,-1,1.62116,1.62116,1.62111,1.62115,-1,-1.0,-1
68400,2020-06-03 19:00:00+00:00,1.62114,1.62114,1.62107,1.62108,-1,-1.0,-1,1.6212,1.62121,1.62112,1.62112,-1,-1.0,-1
72000,2020-06-03 20:00:00+00:00,1.62283,1.62298,1.62283,1.62295,-1,-1.0,-1,1.62292,1.62304,1.62292,1.62304,-1,-1.0,-1
78300,2020-06-03 22:00:00+00:00,1.62282,1.62283,1.62275,1.62275,-1,-1.0,-1,1.62344,1.62344,1.62327,1.62338,-1,-1.0,-1
